iata_code,type,name,lat,lon,elevation_ft,iso_region,municipality,icao_code,home_link,wikipedia_link
SUS,large_airport,Spirit of St Louis Airport,38.66210175,-90.65200043,463,US-MO,St Louis,KSUS,http://spiritairport.com/spiritairport/index.jsp,http://en.wikipedia.org/wiki/Spirit_of_St._Louis_Airport
SUU,large_airport,Travis Air Force Base,38.26269913,-121.927002,62,US-CA,Fairfield,KSUU,http://www.travis.af.mil/,http://en.wikipedia.org/wiki/Travis_Air_Force_Base
SUX,large_airport,Sioux Gateway Col. Bud Day Field,42.40259933,-96.38439941,1098,US-IA,Sioux City,KSUX,,http://en.wikipedia.org/wiki/Sioux_Gateway_Airport
SYR,large_airport,Syracuse Hancock International Airport,43.11119843,-76.10630035,421,US-NY,Syracuse,KSYR,http://www.syrairport.org/,http://en.wikipedia.org/wiki/Syracuse_Hancock_International_Airport
SZL,large_airport,Whiteman Air Force Base,38.7303009,-93.54789734,870,US-MO,Knob Noster,KSZL,http://www.whiteman.af.mil/,http://en.wikipedia.org/wiki/Whiteman_Air_Force_Base
TCM,large_airport,McChord Air Force Base,47.13769913,-122.4759979,322,US-WA,Tacoma,KTCM,,http://en.wikipedia.org/wiki/McChord_Air_Force_Base
TIK,large_airport,Tinker Air Force Base,35.41469955,-97.38659668,1291,US-OK,Oklahoma City,KTIK,http://www.tinker.af.mil/,https://en.wikipedia.org/wiki/Tinker_Air_Force_Base
TLH,large_airport,Tallahassee Regional Airport,30.39649963,-84.35030365,81,US-FL,Tallahassee,KTLH,,http://en.wikipedia.org/wiki/Tallahassee_Regional_Airport
TOL,large_airport,Toledo Express Airport,41.58679962,-83.80780029,683,US-OH,Toledo,KTOL,,http://en.wikipedia.org/wiki/Toledo_Express_Airport
TPA,large_airport,Tampa International Airport,27.97550011,-82.53320313,26,US-FL,Tampa,KTPA,,http://en.wikipedia.org/wiki/Tampa_International_Airport
TRI,large_airport,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,1519,US-TN,Bristol/Johnson/Kingsport,KTRI,,http://en.wikipedia.org/wiki/Tri-Cities_Regional_Airport
TUL,large_airport,Tulsa International Airport,36.19839859,-95.88809967,677,US-OK,Tulsa,KTUL,,http://en.wikipedia.org/wiki/Tulsa_International_Airport
TUS,large_airport,Tucson International Airport,32.11610031,-110.9410019,2643,US-AZ,Tucson,KTUS,,http://en.wikipedia.org/wiki/Tucson_International_Airport
TYS,large_airport,McGhee Tyson Airport,35.81100082,-83.9940033,981,US-TN,Knoxville,KTYS,,http://en.wikipedia.org/wiki/McGhee_Tyson_Airport
VBG,large_airport,Vandenberg Air Force Base,34.73730087,-120.5839996,369,US-CA,Lompoc,KVBG,,http://en.wikipedia.org/wiki/Vandenberg_Air_Force_Base
VPS,large_airport,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,US-FL,Valparaiso,KVPS,http://www.flyvps.com/,https://en.wikipedia.org/wiki/Destin%E2%80%93Fort_Walton_Beach_Airport
WRB,large_airport,Robins Air Force Base,32.64009857,-83.59190369,294,US-GA,Warner Robins,KWRB,http://www.robins.af.mil/,https://en.wikipedia.org/wiki/Robins_Air_Force_Base
FAI,large_airport,Fairbanks International Airport,64.81510162,-147.8560028,439,US-AK,Fairbanks,PAFA,,http://en.wikipedia.org/wiki/Fairbanks_International_Airport
ANC,large_airport,Ted Stevens Anchorage International Airport,61.17440033,-149.9960022,152,US-AK,Anchorage,PANC,,http://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport
HNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13,US-HI,Honolulu,PHNL,http://hawaii.gov/dot/airports/hnl/,http://en.wikipedia.org/wiki/Honolulu_International_Airport
