type,name,lat,lon,iata_code
large_airport,Bangor International Airport,44.807,-68.828,BGR
small_airport,Bagdad Airport,34.596,-113.170,BGT
medium_airport,Hancock County-Bar Harbor Airport,44.450,-68.362,BHB
large_airport,Birmingham-Shuttlesworth International Airport,33.563,-86.754,BHM
small_airport,Block Island State Airport,41.168,-71.578,BID
small_airport,Beatrice Municipal Airport,40.301,-96.754,BIE
medium_airport,Biggs Army Air Field (Fort Bliss),31.850,-106.380,BIF
medium_airport,Allen Army Airfield,63.994,-145.722,BIG
medium_airport,Eastern Sierra Regional Airport,37.373,-118.364,BIH
large_airport,Billings Logan International Airport,45.808,-108.543,BIL
medium_airport,Bismarck Municipal Airport,46.773,-100.746,BIS
medium_airport,Keesler Air Force Base,30.410,-88.924,BIX
medium_airport,Rocky Mountain Metropolitan Airport,39.909,-105.117,BJC
medium_airport,Bemidji Regional Airport,47.509,-94.934,BJI
small_airport,Wayne County Airport,40.875,-81.888,BJJ
medium_airport,Buckland Airport,65.982,-161.149,BKC
small_airport,Stephens County Airport,32.719,-98.891,BKD
medium_airport,Baker City Municipal Airport,44.837,-117.809,BKE
seaplane_base,Lake Brooks Seaplane Base,58.555,-155.777,BKF
small_airport,Branson Airport,36.532,-93.201,BKG
medium_airport,Barking Sands Airport,22.023,-159.785,BKH
medium_airport,Burke Lakefront Airport,41.518,-81.683,BKL
small_airport,Allen C Perkinson Blackstone Army Air Field,37.074,-77.957,BKT
medium_airport,Raleigh County Memorial Airport,37.787,-81.124,BKW
small_airport,Brookings Regional Airport,44.305,-96.817,BKX
small_airport,Boulder City Municipal Airport,35.947,-114.861,BLD
medium_airport,Mercer County Airport,37.296,-81.208,BLF
medium_airport,Blythe Airport,33.619,-114.717,BLH
medium_airport,Bellingham International Airport,48.793,-122.538,BLI
small_airport,Monmouth Executive Airport,40.187,-74.125,BLM
small_airport,Blue Canyon Nyack Airport,39.275,-120.710,BLU
large_airport,Scott AFB/Midamerica Airport,38.545,-89.835,BLV
closed,Bellows AFS (Bellows Field),21.371,-157.714,BLW
small_airport,Brigham City Airport,41.552,-112.062,BMC
medium_airport,Monroe County Airport,39.146,-86.617,BMG
large_airport,Central Illinois Regional Airport at Bloomington-Normal,40.477,-88.916,BMI
small_airport,Berlin Regional Airport,44.575,-71.176,BML
small_airport,Beaumont Municipal Airport,30.071,-94.216,BMT
small_airport,Big Mountain Airport,59.361,-155.259,BMX
large_airport,Nashville International Airport,36.125,-86.678,BNA
seaplane_base,Baranof Warm Springs Float and Seaplane Base,57.089,-134.833,BNF
small_airport,Banning Municipal Airport,33.923,-116.851,BNG
small_airport,Barnwell Regional Airport,33.258,-81.388,BNL
medium_airport,Burns Municipal Airport,43.592,-118.955,BNO
small_airport,Boone Municipal Airport,42.050,-93.848,BNW
heliport,Bolling Air Force Base,38.843,-77.016,BOF
large_airport,Boise Air Terminal/Gowen field,43.564,-116.223,BOI
small_airport,Brookings Airport,42.075,-124.290,BOK
large_airport,General Edward Lawrence Logan International Airport,42.364,-71.005,BOS
small_airport,Bartow Municipal Airport,27.943,-81.783,BOW
closed,Grumman Bethpage Airport,40.749,-73.496,BPA
medium_airport,Miley Memorial Field,42.585,-110.111,BPI
medium_airport,Southeast Texas Regional Airport,29.951,-94.021,BPT
medium_airport,Brunswick Golden Isles Airport,31.259,-81.466,BQK
seaplane_base,Bartlett Cove Seaplane Base,58.455,-135.885,BQV
medium_airport,Brainerd Lakes Regional Airport,46.398,-94.138,BRD
closed,Whitesburg Municipal Airport,37.222,-82.874,BRG
medium_airport,Southeast Iowa Regional Airport,40.783,-91.126,BRL
medium_airport,Brownsville South Padre Island International Airport,25.907,-97.426,BRO
medium_airport,Wiley Post Will Rogers Memorial Airport,71.285,-156.766,BRW
small_airport,Samuels Field,37.814,-85.500,BRY
medium_airport,Bradshaw Army Airfield,19.760,-155.554,BSF
small_airport,Bisbee Municipal Airport,31.364,-109.883,BSQ
small_airport,Boswell Bay Airport,60.423,-146.146,BSW
small_airport,Bartletts Airport,58.216,-157.352,BSZ
small_airport,Skypark Airport,40.869,-111.927,BTF
medium_airport,Barter Island LRRS Airport,70.134,-143.582,BTI
medium_airport,W K Kellogg Airport,42.307,-85.252,BTL
medium_airport,Bert Mooney Airport,45.955,-112.497,BTM
small_airport,Marlboro County Jetport H.E. Avent Field,34.622,-79.734,BTN
small_airport,Butler County-K W Scholter Field,40.777,-79.950,BTP
large_airport,"Baton Rouge Metropolitan, Ryan Field",30.533,-91.150,BTR
medium_airport,Bettles Airport,66.914,-151.529,BTT
medium_airport,Burlington International Airport,44.472,-73.153,BTV
small_airport,Beatty Airport,36.861,-116.787,BTY
small_airport,Cram Field,41.777,-99.150,BUB
large_airport,Buffalo Niagara International Airport,42.940,-78.732,BUF
small_airport,Butler Memorial Airport,38.290,-94.340,BUM
medium_airport,Bob Hope Airport,34.201,-118.359,BUR
small_airport,Bartlesville Municipal Airport,36.763,-96.011,BVO
small_airport,Beluga Airport,61.172,-151.044,BVU
small_airport,Batesville Regional Airport,35.726,-91.647,BVX
medium_airport,Beverly Municipal Airport,42.584,-70.916,BVY
small_airport,Brawley Municipal Airport,32.993,-115.517,BWC
small_airport,Brownwood Regional Airport,31.794,-98.956,BWD
medium_airport,Bowling Green Warren County Regional Airport,36.965,-86.420,BWG
large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.175,-76.668,BWI
small_airport,Earl Henry Airport,36.796,-97.317,BWL
small_airport,Bowman Regional Airport,46.166,-103.301,BWM
small_airport,George R Carr Memorial Air Field,30.814,-89.865,BXA
small_airport,Buckeye Municipal Airport,33.420,-112.686,BXK
small_airport,Borrego Valley Airport,33.259,-116.321,BXS
small_airport,Boundary Airport,64.078,-141.113,BYA
small_airport,Johnson County Airport,44.381,-106.722,BYG
medium_airport,Arkansas International Airport,35.964,-89.944,BYH
medium_airport,Burley Municipal Airport,42.543,-113.772,BYI
medium_airport,Bicycle Lake Army Air Field,35.280,-116.630,BYS
small_airport,Blakely Island Airport,48.579,-122.826,BYW
small_airport,Benton Field,40.575,-122.408,BZF
medium_airport,Gallatin Field,45.778,-111.153,BZN
closed,Buzzards Point Seaplane Base,38.863,-77.011,BZS
small_airport,Eagle Air Park,28.982,-95.580,BZT
small_airport,Wexford County Airport,44.275,-85.419,CAD
large_airport,Columbia Metropolitan Airport,33.939,-81.119,CAE
medium_airport,Akron Canton Regional Airport,40.916,-81.442,CAK
small_airport,Clayton Municipal Airpark,36.446,-103.167,CAO
medium_airport,Caribou Municipal Airport,46.871,-68.018,CAR
small_airport,Greater Cumberland Regional Airport,39.615,-78.761,CBE
small_airport,Council Bluffs Municipal Airport,41.259,-95.761,CBF
small_airport,Shalz Field,39.428,-101.047,CBK
large_airport,Columbus Air Force Base,33.644,-88.444,CBM
small_airport,Cable Airport,34.112,-117.688,CCB
heliport,Century City Heliport,34.061,-118.418,CCD
small_airport,Crane County Airport,31.415,-102.363,CCG
small_airport,Buchanan Field,37.990,-122.057,CCR
medium_airport,Northeast Iowa Regional Airport,43.073,-92.611,CCY
medium_airport,Cold Bay Airport,55.206,-162.725,CDB
medium_airport,Cedar City Regional Airport,37.701,-113.099,CDC
small_airport,Harrell Field,33.623,-92.763,CDH
small_airport,Candle 2 Airport,65.908,-161.926,CDL
small_airport,Woodward Field,34.284,-80.565,CDN
medium_airport,Chadron Municipal Airport,42.838,-103.095,CDR
medium_airport,Childress Municipal Airport,34.434,-100.288,CDS
medium_airport,Merle K (Mudhole) Smith Airport,60.492,-145.478,CDV
small_airport,Essex County Airport,40.875,-74.281,CDW
small_airport,Cessna Aircraft Field,37.649,-97.251,CEA
medium_airport,Jack Mc Namara Field Airport,41.780,-124.237,CEC
medium_airport,Westover ARB/Metropolitan Airport,42.194,-72.535,CEF
small_airport,Central Airport,65.574,-144.783,CEM
small_airport,Oconee County Regional Airport,34.672,-82.886,CEU
small_airport,Mettel Field,39.699,-85.130,CEV
medium_airport,Bob Sikes Airport,30.779,-86.522,CEW
small_airport,Chena Hot Springs Airport,65.052,-146.047,CEX
small_airport,Kyle Oakley Field,36.665,-88.373,CEY
small_airport,Cortez Municipal Airport,37.303,-108.628,CEZ
small_airport,Coulter Field,30.716,-96.331,CFD
small_airport,Greenlee County Airport,32.953,-109.210,CFT
small_airport,Coffeyville Municipal Airport,37.094,-95.572,CFV
seaplane_base,Craig Seaplane Base,55.479,-133.148,CGA
small_airport,Cambridge Dorchester Airport,38.539,-76.030,CGE
medium_airport,Cuyahoga County Airport,41.565,-81.486,CGF
medium_airport,Cape Girardeau Regional Airport,37.225,-89.571,CGI
small_airport,College Park Airport,38.981,-76.922,CGS
closed,Chicago Meigs Airport,41.859,-87.608,CGX
small_airport,Casa Grande Municipal Airport,32.955,-111.767,CGZ
large_airport,Lovell Field,35.035,-85.204,CHA
small_airport,Chickasha Municipal Airport,35.097,-97.968,CHK
small_airport,Challis Airport,44.523,-114.218,CHL
medium_airport,Charlottesville Albemarle Airport,38.139,-78.453,CHO
small_airport,Circle Hot Springs Airport,65.485,-144.611,CHP
large_airport,Charleston Air Force Base-International Airport,32.899,-80.040,CHS
small_airport,Chuathbaluk Airport,61.579,-159.216,CHU
small_airport,Chiloquin State Airport,42.579,-121.879,CHZ
small_airport,Chico Municipal Airport,39.795,-121.858,CIC
large_airport,The Eastern Iowa Airport,41.885,-91.711,CID
small_airport,Craig Moffat Airport,40.495,-107.522,CIG
small_airport,Chalkyitsik Airport,66.645,-143.740,CIK
small_airport,Council Airport,64.898,-163.703,CIL
small_airport,Arthur N Neu Airport,42.046,-94.789,CIN
small_airport,Cairo Regional Airport,37.064,-89.220,CIR
medium_airport,Chippewa County International Airport,46.251,-84.472,CIU
seaplane_base,Chomley Seaplane Base,55.217,-132.210,CIV
small_airport,Kegelman AF Aux Field,36.744,-98.123,CKA
medium_airport,North Central West Virginia Airport,39.297,-80.228,CKB
small_airport,Crooked Creek Airport,61.868,-158.135,CKD
small_airport,Lampson Field,38.991,-122.901,CKE
small_airport,Sharp County Regional Airport,36.265,-91.563,CKK
small_airport,Fletcher Field,34.300,-90.512,CKM
small_airport,Crookston Municipal Kirkwood Field,47.842,-96.622,CKN
small_airport,Crane Island Airstrip,48.598,-122.998,CKR
small_airport,Cordova Municipal Airport,60.544,-145.727,CKU
small_airport,Clarksville–Montgomery County Regional Airport,36.622,-87.415,CKV
small_airport,Chicken Airport,64.071,-141.952,CKX
closed,Clear Lake Metroport,29.556,-95.138,CLC
medium_airport,Mc Clellan-Palomar Airport,33.128,-117.280,CLD
large_airport,Cleveland Hopkins International Airport,41.412,-81.850,CLE
small_airport,New Coalinga Municipal Airport,36.163,-120.294,CLG
closed,Coalinga Airport,36.158,-120.360,CLG
small_airport,Clintonville Municipal Airport,44.614,-88.731,CLI
small_airport,Clinton Regional Airport,35.538,-98.933,CLK
medium_airport,Easterwood Field,30.589,-96.364,CLL
medium_airport,William R Fairchild International Airport,48.120,-123.500,CLM
small_airport,Clarks Point Airport,58.834,-158.529,CLP
small_airport,Cliff Hatfield Memorial Airport,33.132,-115.521,CLR
small_airport,Chehalis Centralia Airport,46.677,-122.983,CLS
large_airport,Charlotte Douglas International Airport,35.214,-80.943,CLT
medium_airport,Columbus Municipal Airport,39.262,-85.896,CLU
small_airport,Clearwater Air Park,27.977,-82.759,CLW
large_airport,Port Columbus International Airport,39.998,-82.892,CMH
medium_airport,University of Illinois Willard Airport,40.039,-88.278,CMI
medium_airport,Houghton County Memorial Airport,47.168,-88.489,CMX
small_airport,Sparta Fort Mc Coy Airport,43.958,-90.738,CMY
small_airport,Fremont County Airport,38.428,-105.106,CNE
small_airport,Claremont Municipal Airport,43.370,-72.369,CNH
small_airport,Blosser Municipal Airport,39.549,-97.652,CNK
medium_airport,Cavern City Air Terminal,32.338,-104.263,CNM
small_airport,Chino Airport,33.975,-117.637,CNO
medium_airport,Chanute Martin Johnson Airport,37.669,-95.485,CNU
small_airport,TSTC Waco Airport,31.638,-97.074,CNW
small_airport,Canyonlands Field,38.755,-109.755,CNY
small_airport,Columbia Airport,38.030,-120.415,COA
medium_airport,Yellowstone Regional Airport,44.520,-109.024,COD
medium_airport,Coeur D'Alene - Pappy Boyington Field,47.774,-116.820,COE
medium_airport,Patrick Air Force Base,28.235,-80.610,COF
small_airport,Merritt Island Airport,28.342,-80.686,COI
small_airport,Coleman Municipal Airport,31.841,-99.404,COM
medium_airport,Concord Municipal Airport,43.203,-71.502,CON
small_airport,Cooperstown-Westville Airport,42.629,-74.891,COP
large_airport,City of Colorado Springs Municipal Airport,38.806,-104.701,COS
small_airport,Cotulla-La Salle County Airport,28.457,-99.220,COT
medium_airport,Columbia Regional Airport,38.818,-92.220,COU
small_airport,Compton Woodley Airport,33.890,-118.244,CPM
large_airport,Casper-Natrona County International Airport,42.908,-106.464,CPR
small_airport,St Louis Downtown Airport,38.571,-90.156,CPS
medium_airport,Grand Strand Airport,33.812,-78.724,CRE
medium_airport,Jacksonville Executive at Craig Airport,30.336,-81.514,CRG
small_airport,Corcoran Airport,36.103,-119.595,CRO
large_airport,Corpus Christi International Airport,27.770,-97.501,CRP
small_airport,C David Campbell Field Corsicana Municipal Airport,32.028,-96.401,CRS
small_airport,Z M Jack Stell Field,33.178,-91.880,CRT
large_airport,Yeager Airport,38.373,-81.593,CRW
small_airport,Roscoe Turner Airport,34.915,-88.604,CRX
small_airport,Buckhorn Ranch Airport,38.852,-106.933,CSE
medium_airport,Columbus Metropolitan Airport,32.516,-84.939,CSG
small_airport,Clinton Sherman Airport,35.340,-99.201,CSM
small_airport,Carson Airport,39.192,-119.734,CSN
small_airport,Creston Municipal Airport,41.021,-94.363,CSQ
medium_airport,Crossville Memorial Whitson Field,35.951,-85.085,CSV
medium_airport,Cut Bank International Airport,48.608,-112.376,CTB
small_airport,Chester County G O Carlson Airport,39.979,-75.866,CTH
small_airport,Calverton Executive Airpark,40.915,-72.792,CTO
small_airport,Cortland County Chase Field,42.593,-76.215,CTX
small_airport,Cross City Airport,29.635,-83.105,CTY
small_airport,Sampson County Airport,34.976,-78.365,CTZ
medium_airport,Jim Hamilton L.B. Owens Airport,33.971,-80.995,CUB
small_airport,Cushing Municipal Airport,35.950,-96.773,CUH
large_airport,Cincinnati Northern Kentucky International Airport,39.049,-84.668,CVG
small_airport,Clovis Municipal Airport,34.425,-103.079,CVN
medium_airport,Corvallis Municipal Airport,44.497,-123.290,CVO
closed,Hughes Airport,33.975,-118.417,CVR
large_airport,Cannon Air Force Base,34.383,-103.322,CVS
medium_airport,Central Wisconsin Airport,44.778,-89.667,CWA
small_airport,Chennault International Airport,30.211,-93.143,CWF
small_airport,Clinton Municipal Airport,41.831,-90.329,CWI
small_airport,Center Island Airport,48.490,-122.832,CWS
small_airport,Cochise County Airport,32.245,-109.895,CWX
small_airport,Chitina Airport,61.583,-144.427,CXC
small_airport,Coldfoot Airport,67.252,-150.204,CXF
small_airport,Calexico International Airport,32.669,-115.513,CXL
medium_airport,Conroe-North Houston Regional Airport,30.352,-95.414,CXO
small_airport,Chefornak Airport,60.149,-164.286,CYF
seaplane_base,Chatham Seaplane Base,57.515,-134.946,CYM
medium_airport,Cheyenne Regional Jerry Olson Field,41.156,-104.812,CYS
small_airport,Yakataga Airport,60.082,-142.493,CYT
small_airport,Copper Center 2 Airport,61.941,-145.294,CZC
medium_airport,Cape Romanzof LRRS Airport,61.780,-166.039,CZF
small_airport,Cascade Locks State Airport,45.677,-121.879,CZK
small_airport,Chisana Airport,62.071,-142.048,CZN
small_airport,Chistochina Airport,62.563,-144.669,CZO
seaplane_base,Cape Pole Seaplane Base,55.966,-133.797,CZP
small_airport,Dimmit County Airport,28.522,-99.824,CZT
medium_airport,Davison Army Air Field,38.715,-77.181,DAA
large_airport,Daytona Beach International Airport,29.180,-81.058,DAB
medium_airport,Barstow Daggett Airport,34.854,-116.787,DAG
large_airport,Dallas Love Field,32.847,-96.852,DAL
medium_airport,Danville Regional Airport,36.573,-79.336,DAN
large_airport,James M Cox Dayton International Airport,39.902,-84.219,DAY
small_airport,W H 'Bud' Barron Airport,32.564,-82.985,DBN
large_airport,Dubuque Regional Airport,42.402,-90.710,DBQ
small_airport,Dubois Municipal Airport,44.167,-112.226,DBS
large_airport,Ronald Reagan Washington National Airport,38.852,-77.038,DCA
small_airport,Dahl Creek Airport,66.943,-156.905,DCK
closed,Decatur HI-Way Airfield,40.838,-84.862,DCR
small_airport,Pryor Field Regional Airport,34.653,-86.945,DCU
medium_airport,Dodge City Regional Airport,37.763,-99.966,DDC
medium_airport,Decatur Airport,39.835,-88.866,DEC
small_airport,Decorah Municipal Airport,43.276,-91.739,DEH
large_airport,Denver International Airport,39.862,-104.673,DEN
medium_airport,Coleman A. Young Municipal Airport,42.409,-83.010,DET
small_airport,Defiance Memorial Airport,41.338,-84.429,DFI
